order_id,quantity,month_name,day_name,order_time,unit_price,total_sales,pizza_size,pizza_category,pizza_name
1,1,Feb,Sunday,16,13.25,13.25,M,Classic,The Hawaiian Pizza
1,1,Jun,Wednesday,18,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
3,3,May,Wednesday,12,53.849999999999994,53.849999999999994,L,Veggie,The Four Cheese Pizza
3,3,Feb,Friday,16,62.25,62.25,L,Chicken,The Thai Chicken Pizza
6,6,Jan,Friday,19,72,72,S,Classic,The Big Meat Pizza
1,1,Feb,Tuesday,17,17.95,17.95,L,Veggie,The Four Cheese Pizza
2,2,May,Saturday,16,41.5,41.5,L,Supreme,The Italian Supreme Pizza
2,2,Mar,Sunday,19,25,25,S,Supreme,The Prosciutto and Arugula Pizza
2,2,Jun,Friday,20,33.5,33.5,M,Chicken,The Barbecue Chicken Pizza
2,2,May,Tuesday,12,41.5,41.5,L,Supreme,The Prosciutto and Arugula Pizza
2,2,Apr,Wednesday,17,25,25,S,Supreme,The Italian Supreme Pizza
1,1,May,Wednesday,21,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
2,2,Apr,Friday,18,32,32,M,Classic,The Classic Deluxe Pizza
1,1,May,Thursday,16,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
2,2,Mar,Saturday,20,32,32,M,Classic,The Greek Pizza
2,3,Apr,Saturday,14,33,49.5,M,Supreme,The Italian Supreme Pizza
1,1,Jan,Wednesday,14,20.75,20.75,L,Chicken,The Thai Chicken Pizza
1,1,Mar,Saturday,16,16,16,M,Classic,The Napolitana Pizza
3,3,Feb,Thursday,17,43.5,43.5,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,Jan,Monday,17,12.5,12.5,S,Veggie,The Spinach Pesto Pizza
1,1,Mar,Wednesday,12,16.5,16.5,M,Supreme,The Italian Supreme Pizza
4,4,Apr,Monday,12,50,50,M,Classic,The Pepperoni Pizza
4,4,Jun,Saturday,18,48,48,S,Classic,The Big Meat Pizza
3,3,Jan,Tuesday,12,53.849999999999994,53.849999999999994,L,Veggie,The Four Cheese Pizza
1,1,Mar,Tuesday,21,12,12,S,Classic,The Napolitana Pizza
1,1,Apr,Sunday,22,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
2,2,Mar,Tuesday,12,41.5,41.5,L,Chicken,The Chicken Alfredo Pizza
1,1,Apr,Saturday,14,13.25,13.25,M,Classic,The Hawaiian Pizza
2,2,May,Sunday,21,41.5,41.5,L,Chicken,The Chicken Pesto Pizza
3,3,Apr,Thursday,17,62.25,62.25,L,Supreme,The Italian Supreme Pizza
6,7,Jun,Tuesday,13,100.5,117.25,M,Chicken,The California Chicken Pizza
1,1,Apr,Monday,21,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
2,2,May,Thursday,14,41.5,41.5,L,Supreme,The Pepper Salami Pizza
1,1,Feb,Wednesday,12,35.95,35.95,XXL,Classic,The Greek Pizza
4,4,Jun,Monday,17,83,83,L,Chicken,The Southwest Chicken Pizza
1,1,Mar,Tuesday,19,20.25,20.25,L,Supreme,The Sicilian Pizza
1,1,May,Tuesday,15,12,12,S,Classic,The Big Meat Pizza
1,1,Feb,Sunday,15,12.75,12.75,S,Chicken,The Chicken Alfredo Pizza
2,2,Feb,Wednesday,22,35,35,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,Mar,Friday,15,20.75,20.75,L,Chicken,The Thai Chicken Pizza
3,3,Feb,Friday,18,36,36,S,Classic,The Big Meat Pizza
2,2,Mar,Sunday,17,51,51,XL,Classic,The Greek Pizza
1,1,Mar,Friday,19,18.5,18.5,L,Veggie,The Five Cheese Pizza
1,1,Apr,Saturday,16,16,16,M,Veggie,The Vegetables + Vegetables Pizza
1,1,Mar,Wednesday,21,20.5,20.5,L,Classic,The Italian Capocollo Pizza
1,1,Jan,Wednesday,13,12.25,12.25,S,Supreme,The Calabrese Pizza
1,1,Apr,Saturday,13,12.5,12.5,M,Classic,The Pepperoni Pizza
1,1,Mar,Sunday,13,16.5,16.5,M,Supreme,The Pepper Salami Pizza
2,3,Feb,Tuesday,12,19.5,29.25,S,Classic,The Pepperoni Pizza
1,1,Feb,Wednesday,18,16.75,16.75,M,Chicken,The Chicken Pesto Pizza
2,2,Apr,Saturday,16,41.5,41.5,L,Chicken,The Southwest Chicken Pizza
2,2,Jun,Saturday,12,32,32,M,Veggie,The Mexicana Pizza
1,1,Feb,Monday,12,12.5,12.5,S,Supreme,The Spicy Italian Pizza
1,1,Jan,Wednesday,22,16.5,16.5,L,Classic,The Hawaiian Pizza
1,1,Apr,Saturday,22,16,16,M,Classic,The Classic Deluxe Pizza
1,1,Apr,Friday,20,20.75,20.75,L,Supreme,The Soppressata Pizza
2,2,Jul,Sunday,12,37,37,L,Veggie,The Five Cheese Pizza
1,1,Oct,Wednesday,18,16,16,M,Veggie,The Spinach and Feta Pizza
2,2,Jul,Wednesday,14,33,33,M,Supreme,The Pepper Salami Pizza
1,1,Jul,Sunday,16,12.5,12.5,S,Supreme,The Pepper Salami Pizza
1,1,Nov,Friday,22,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
1,1,Oct,Sunday,16,16,16,M,Classic,The Greek Pizza
1,2,Aug,Sunday,19,16.25,32.5,M,Supreme,The Calabrese Pizza
2,2,Nov,Sunday,16,32,32,M,Veggie,The Vegetables + Vegetables Pizza
3,3,Jun,Saturday,18,49.5,49.5,M,Supreme,The Prosciutto and Arugula Pizza
1,1,Nov,Saturday,19,9.75,9.75,S,Classic,The Pepperoni Pizza
1,1,Nov,Saturday,18,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
4,4,Nov,Monday,12,67,67,M,Chicken,The California Chicken Pizza
2,2,Oct,Tuesday,21,24,24,S,Veggie,The Spinach and Feta Pizza
1,1,Aug,Tuesday,12,16.75,16.75,M,Chicken,The Thai Chicken Pizza
1,1,Oct,Tuesday,16,20.75,20.75,L,Supreme,The Spicy Italian Pizza
3,3,Aug,Wednesday,18,31.5,31.5,S,Classic,The Hawaiian Pizza
1,1,Nov,Thursday,13,20.75,20.75,L,Supreme,The Pepper Salami Pizza
